競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	204	10	芝	1400	8	ジッピーレーサー　　　　　　　　　　	13.3	7	10	6	0.4832607553565409	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	9	カフェサンドリヨン　　　　　　　　　	11.6	6	2	7	0.4787498099612128	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	10	ブランデーロック　　　　　　　　　　	7.9	3	4	3	0.497281943836879	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	10	芝	1400	11	ヤマニンルリュール　　　　　　　　　	19.5	8	9	8	0.4765126380259885	5	8.0	9	9	4.2	7	4.0	3.0	4.0	5	9	130.3	5	9	4	5	4	9	31.4	35.4	13.0	5	9	344.9	338.5
東京	2023	204	11	芝	2400	1	エドノフェリーチェ　　　　　　　　　	12.3	4	11	6	0.4848065333573523	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	2	チャックネイト　　　　　　　　　　　	4.6	2	3	5	0.4991885837919029	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	3	アイブランコ　　　　　　　　　　　　	213.2	11	7	12	0.4660749555514395	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	4	ファユエン　　　　　　　　　　　　　	24.6	7	6	10	0.4708941814959307	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	5	シルキーヴォイス　　　　　　　　　　	30.2	8	9	7	0.4807448824734894	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	6	サンストックトン　　　　　　　　　　	1.7	1	8	1	0.5205814159317909	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	7	メガゴールド　　　　　　　　　　　　	89.2	9	12	11	0.4686835767069656	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	8	ククナ　　　　　　　　　　　　　　　	5.2	3	1	2	0.5083653303575156	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	9	フィリオアレグロ　　　　　　　　　　	19.7	5	5	8	0.4803806056164418	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	10	アケルナルスター　　　　　　　　　　	24.0	6	4	4	0.5057735361834359	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	11	サペラヴィ　　　　　　　　　　　　　	234.8	12	2	3	0.5073485827387147	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	204	11	芝	2400	12	マイネルコロンブス　　　　　　　　　	130.8	10	10	9	0.4713616824347398	8	3.1	3	11	53.4	12	2.0	3.0	2.0	8	11	465.2	8	11	2	8	2	11	112.1	4.7	73.6	8	11	718.6	649.6
東京	2023	205	8	芝	2000	1	インナリオ　　　　　　　　　　　　　	59.1	8	6	10	0.4664381221423779	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	2	オウケンロジータ　　　　　　　　　　	209.6	9	8	7	0.472778304002077	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	3	ルージュリナージュ　　　　　　　　　	1.9	1	1	3	0.5148011947090101	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	4	アラビアンナイト　　　　　　　　　　	15.1	5	5	5	0.5024820034261313	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	5	テーオーアリエス　　　　　　　　　　	41.4	7	10	8	0.4684656600049464	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	6	エコルフリューゲル　　　　　　　　　	15.1	6	7	2	0.5154261631173953	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	7	グレースオブナイル　　　　　　　　　	362.5	10	9	9	0.4683691700886918	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	8	ロマンシングブルー　　　　　　　　　	3.6	2	2	1	0.5160376500457101	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	9	ヒットザシーン　　　　　　　　　　　	10.4	4	4	6	0.4980499167780615	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	8	芝	2000	10	エクランドール　　　　　　　　　　　	5.5	3	3	4	0.5104129572192913	3	1.1	1	8	1.1	2	10.0	1.4	3.0	3	8	3.2	3	8	3	10	8	10	1.7	2.3	2.7	3	8	5.3	5.0
東京	2023	205	11	芝	1600	1	プリンスリターン　　　　　　　　　　	74.2	14	11	12	0.4807967421384609	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
東京	2023	205	11	芝	1600	2	ウインカーネリアン　　　　　　　　　	9.5	4	1	8	0.4924115410348897	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
東京	2023	205	11	芝	1600	3	ジャスティンカフェ　　　　　　　　　	2.9	1	4	9	0.4908864140122922	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
東京	2023	205	11	芝	1600	4	ピンハイ　　　　　　　　　　　　　　	8.7	3	8	3	0.5037431703213114	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
東京	2023	205	11	芝	1600	5	インダストリア　　　　　　　　　　　	9.9	5	7	5	0.5030854021811046	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
東京	2023	205	11	芝	1600	6	マテンロウオリオン　　　　　　　　　	23.2	8	6	14	0.4653279108785833	2	3.1	4	15	1.8	2	16.0	3.2	6.0	2	15	23.6	2	15	2	16	15	16	9.3	19.7	7.3	2	15	52.9	81.2
